station,2016,2017,2018,2019,2020,2021,2022
"RIVER GANGA AT BAHARAMPORE, MURSHIDABAD, WEST BENGAL",,,,,,7.95,8.030000000000001
"RIVER GANGA AT BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA",,,,,,7.6,
"RIVER GANGA AT BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA, ATHMALGOLA, PATNA",,,,,,,7.73
"RIVER GANGA AT BARAHIYA, NEPALITOLA, MARANCHI, ;LAKSHISARAI",,,,,,7.9,
"RIVER GANGA AT BARAHIYA, NEPALITOLA, MARANCHI, HATHIDAH AT MOKAMA, PATNA",,,,,,,7.74
RIVER GANGA AT BARH,,,,,,7.8,
RIVER GANGA AT BARKAGAON,,,7.35,,,,
RIVER GANGA AT BATHING GHAT (BHARAOGHAT),,7.85,,8.25,8.094999999999999,8.3,8.16
RIVER GANGA AT BATHING GHAT (GOLA GHAT),,7.8,,8.15,8.0,8.2,8.055
RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),,7.6,,8.1,,8.2,8.14
RIVER GANGA AT BEHRAMPORE (GORA BAZAR) MURSHIDABAD,,,,8.0,,,
RIVER GANGA AT BEHRAMPORE (KHAGRA) MURSHIDABAD,,,,7.85,,,
"RIVER GANGA AT BEHRAMPORE(KHAGRA), MURSHIDABAD",,,,,,8.05,8.07
"RIVER GANGA AT BEHRAMPORE, (GORA BAZAR),MURSHIDABAD",,,,,,7.95,7.945
RIVER GANGA AT BHAGALPUR,,,,,,7.95,
"RIVER GANGA AT BHAGALPUR, OPP. KUPPA GHAT",,,,,,,7.694999999999999
RIVER GANGA AT BIJNOR (U.P.),,,,,,6.85,7.9
"RIVER GANGA AT BITHOOR (KANPUR), U.P.",,,,,,8.35,8.245000000000001
RIVER GANGA AT BUXAR,,,,,,8.1,
"RIVER GANGA AT BUXAR, RAMREKHAGHAT",,,,,,7.95,7.745
RIVER GANGA AT CHAMPANAGAR,,7.7,,,,,
"RIVER GANGA AT CHAMPANAGAR, BHAGALPUR",,,,7.8,7.699999999999999,8.0,
"RIVER GANGA AT CHAMPANAGAR, RASIDPUR, BHAGALPUR",,,,,,,7.79
"RIVER GANGA AT CHANDRAPUR, ITANAGAR,",,,,,,7.75,
RIVER GANGA AT CHUNAR,,,8.15,,5.9,7.95,7.515000000000001
RIVER GANGA AT D/S (SHUKLAGANJ),,,,,7.95,8.2,8.355
RIVER GANGA AT D/S BHAGALPUR NEAR BARARIGHAT,,,,,,,7.715
RIVER GANGA AT D/S BUXAR NEAR ROAD BRIDGE,,,,,,7.9,
RIVER GANGA AT D/S BUXAR NEAR VEER KUNWAR SINGH ROAD BRIDGE,,,,,,,7.7
"RIVER GANGA AT D/S GARHMUKTESHWAR, U.P",,,,,,,7.3
RIVER GANGA AT D/S NAWADAGHAT,,7.95,,,,,
"RIVER GANGA AT D/S NAWADAGHAT , BARH ,PATNA",,,,,,7.85,
"RIVER GANGA AT D/S NAWADGHAT, BARH, PATNA",,,,8.2,,,
RIVER GANGA AT D/S SARIKPUR,,,7.75,,,,
RIVER GANGA AT D/S SHUKLAGANJ,,,,8.25,,,
"RIVER GANGA AT DAKSHMINESHWAR, KOLKATA, WEST BENGAL",,,,,,7.5,7.385
"RIVER GANGA AT DALMAU (RAI BAREILLY), U.P.",,,,,,8.0,7.985
"RIVER GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",,,,,,7.4,7.455
"RIVER GANGA AT DIGHA, NEAR J P SETU, PATNA U/S",,,,,,,7.805
"RIVER GANGA AT DURJANPUR, KANNAUJ D/S, U.P",,,,,,,8.24
"RIVER GANGA AT FARAKKA, MUSHIDABAD",,,,,,,8.06
RIVER GANGA AT FARRUKABAD,,,,,7.800000000000001,8.25,
RIVER GANGA AT FARUKKABAD,,,,8.0,,,
"RIVER GANGA AT GANDHIGHAT, NIT PATNA",,,,,,7.65,7.615
"RIVER GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",,,,,,7.55,7.455
"RIVER GANGA AT GARHMUKTESHWAR, U.P",,,,,,7.5,
RIVER GANGA AT GHARMUKTESHWAR,,7.449999999999999,,,7.65,7.3,
RIVER GANGA AT GHATIYAGHAT FARRUKABAD,,,,,,,8.15
RIVER GANGA AT GULABI GHAT,,,,,,7.649999999999999,
"RIVER GANGA AT GULABI GHAT, PATNA",,,,,,,7.71
RIVER GANGA AT HAR KI PAURI GHAT,,,7.9,7.95,,,
RIVER GANGA AT HAR-KI- PAURI GHAT,,7.3,,,,,
RIVER GANGA AT HAR-KI-PAURI GHAT,,,,,7.65,7.7,7.7
"RIVER GANGA AT HARIDWAR D/S, UPPER GANGA CANAL D/S BALKUMARI MANDIR, AJEETPUR, HARIDWAR",,,,,,7.45,
RIVER GANGA AT HOWRAH-SHIVPUR WEST BENGAL,,,,,,7.5,7.49
RIVER GANGA AT KACHCHI-DARGAH-,,,,,,,7.925
"RIVER GANGA AT KACHCHI-DARGAH-BIDUPUR ROAD BRIDGE, PATNA",,,,,,7.800000000000001,
"RIVER GANGA AT KACHHLA GHAT, ALIGARH",,,,,,7.55,7.35
"RIVER GANGA AT KADAGHAT, ALLAHABAD",,,,,,7.9,
"RIVER GANGA AT KADAGHAT, KAUSHAMABI",,,,,,,7.805
RIVER GANGA AT KAHALGAON,,,,,,7.7,
"RIVER GANGA AT KALA KANKAR, RAEBARELI",,,,,,8.0,8.075
"RIVER GANGA AT KANNAUJ D/S, U.P",,,,,,8.2,
"RIVER GANGA AT KANNAUJ U/S (NEAR MEHNDIGHAT BRIDGE), U.P",,,,,,,8.24
"RIVER GANGA AT KANNAUJ U/S (RAJGHAT), U.P",,,,,,8.25,
